# serie: dificultad — Medición 1 · cuánto pesaba la bomba contra la dificultad real
# origen: https://ethereum-rpc.publicnode.com · eth_getBlockByNumber
# bajado: 2026-08-20 00:20 UTC
# rango: bloques 4000000..15537394 cada 10000
# el paso es parte del dato: la serie está muestreada, no es continua
bloque,marca,dificultad
6050000,1532849626,3510031484994953
6060000,1532994160,3538644650880342
6070000,1533141286,3515597076635646
6080000,1533288091,3524851367948707
6090000,1533432998,3532634013914802
6100000,1533578575,3609674851575112
6110000,1533724916,3545320417538876
6120000,1533870537,3608312031618162
6130000,1534016212,3562683150307133
6140000,1534163628,3500575853975598
6150000,1534309134,3542271625587928
6160000,1534454722,3430289477080719
6170000,1534602524,3408450160719925
6180000,1534747701,3553164010056336
6190000,1534892931,3576144598927799
6200000,1535039951,3349455965914832
6210000,1535185292,3592555790477533
6220000,1535331135,3492373201881004
6230000,1535477339,3445221171556009
6240000,1535623054,3455623375589081
6250000,1535768227,3534727542359474
6260000,1535914482,3388248687183752
6270000,1536059758,3449083777597440
6280000,1536204432,3441120463329687
6290000,1536348963,3363693201216455
6300000,1536495403,3222998137036447
6310000,1536639507,3252142209599185
6320000,1536783125,3099960769035036
6330000,1536925887,3192257544895713
6340000,1537069009,3075721045697950
6350000,1537210708,3168708303542203
6360000,1537353835,3168468183386114
6370000,1537497361,3064622633390264
6380000,1537639728,3272902804391689
6390000,1537781366,3270465843701220
6400000,1537922897,3209656986446748
6410000,1538065170,3232675989166694
6420000,1538207020,3223308136219935
6430000,1538348235,3299599543478345
6440000,1538489640,3277309971576756
6450000,1538631256,3198369640280534
6460000,1538771727,3221619574134457
6470000,1538911026,3258090686499747
6480000,1539049430,3392221124370513
6490000,1539190730,3249121956820326
6500000,1539330275,3298898967588021
6510000,1539470509,3268155794404354
6520000,1539611779,3160587407683885
6530000,1539752649,3217920696007370
6540000,1539893301,3253999186605698
6550000,1540035461,3089882320667455
6560000,1540175783,3188158408959388
6570000,1540317582,3083642011663684
6580000,1540458691,3068373704767339
6590000,1540599331,3133583639835207
6600000,1540740577,3140293514303555
6610000,1540882459,3116632995731737
6620000,1541023512,3158247933959358
6630000,1541166376,2995630919854826
6640000,1541307140,3044135010001671
6650000,1541449770,3036317338047066
6660000,1541592294,2947212606638470
6670000,1541733218,3007367281894450
6680000,1541874538,3075100805573518
6690000,1542016384,2941097470619519
6700000,1542156560,3096239864899737
6710000,1542298725,3125683390256722
6720000,1542440006,3004734312087022
6730000,1542580287,3076861759065687
6740000,1542723747,2951893810442988
6750000,1542866477,2706528810173593
6760000,1543007269,2828065792110492
6770000,1543148698,2637903228147106
6780000,1543289948,2650554647735973
6790000,1543434172,2410875524665448
6800000,1543575859,2419113427696550
6810000,1543718667,2478666459974217
6820000,1543862329,2401129349313561
6830000,1544005220,2385364921483253
6840000,1544148198,2400523912758696
6850000,1544291964,2290373419734954
6860000,1544433268,2335919427235596
6870000,1544576147,2287392970681610
6880000,1544718309,2231013208298008
6890000,1544860802,2217677734339263
6900000,1545003100,2237526782074861
6910000,1545151038,2173345309188429
6920000,1545298309,2210988635031447
6930000,1545444975,2294553671532048
6940000,1545592165,2332714160657517
6950000,1545737520,2496797727800684
6960000,1545883479,2483279822740120
6970000,1546029906,2411230975156492
6980000,1546175667,2427948241850754
6990000,1546320878,2511638199151653
7000000,1546466952,2553711764445236
7010000,1546622719,2523854482995265
7020000,1546776424,2719357026928736
7030000,1546931422,2640770724845168
7040000,1547086233,2643269159589119
7050000,1547240860,2671390984875297
7060000,1547396030,2556413688739329
7070000,1547549533,2654661201878399
7080000,1547704633,2584526037287456
7090000,1547859045,2563599642377227
7100000,1548012002,2644710916622921
7110000,1548180548,2844932110667015
7120000,1548351788,2812913375654650
7130000,1548521909,2761449152822897
7140000,1548695090,2559486558105000
7150000,1548872168,2430619856709941
7160000,1549048111,2379231809734495
7170000,1549225465,2280431656950185
7180000,1549400397,2341446817251449
7190000,1549576572,2364925816975293
7200000,1549752194,2402477119121934
7210000,1549954624,2894095986851497
7220000,1550160727,2817842409962375
7230000,1550367666,2802823358756647
7240000,1550573262,2899783827447673
7250000,1550776436,2907895433080145
7260000,1550978228,2989102616428879
7270000,1551181750,2849624147638343
7280000,1551383524,2957101900364072
7290000,1551527005,1947240952547327
7300000,1551662535,1903956586953808
7310000,1551798808,1831128179313987
7320000,1551932302,1904310251853829
7330000,1552066766,1946667138706513
7340000,1552201544,1900831968013737
7350000,1552336045,1864016025738962
7360000,1552470545,1844197674935513
7370000,1552605435,1803207950682254
7380000,1552738081,1955562635774176
7390000,1552872817,1891694230456884
7400000,1553008742,1775513559366742
7410000,1553142018,1892916476421679
7420000,1553277395,1838225916208730
7430000,1553411888,1847283216047712
7440000,1553546051,1844547141594848
7450000,1553681868,1749822572625844
7460000,1553816450,1791275854697375
7470000,1553953102,1676174769545931
7480000,1554086578,1803580714203573
7490000,1554222678,1778318508838509
7500000,1554358137,1785444410800885
7510000,1554493384,1786494703096988
7520000,1554626505,1810482209714415
7530000,1554760411,1843822758537210
7540000,1554894627,1893332768846806
7550000,1555029655,1885083784182835
7560000,1555163830,1894452810184449
7570000,1555297496,1916037067661408
7580000,1555431616,1960686980267000
7590000,1555566912,1907824722233504
7600000,1555701653,1907915862612420
7610000,1555837014,1850195599103552
7620000,1555970540,1923335117052563
7630000,1556107407,1853247933171240
7640000,1556241200,1852650307961999
7650000,1556374991,1886637749725843
7660000,1556509346,1896051192570527
7670000,1556643967,1915917386679233
7680000,1556778136,1897635838591023
7690000,1556913235,1865600074910251
7700000,1557047080,1935443292899043
7710000,1557182260,1953841559135668
7720000,1557318081,1928512299150275
7730000,1557453624,1939269695396790
7740000,1557588222,1947390820958105
7750000,1557722567,2013380790563244
7760000,1557857642,1978648055661136
7770000,1557992058,2002435884243350
7780000,1558126732,2150817071978856
7790000,1558262228,2091153171722681
7800000,1558397321,2115039779990242
7810000,1558533192,2063773969037209
7820000,1558669169,1984269348744329
7830000,1558803191,2032180962307606
7840000,1558937464,2052067732376486
7850000,1559072957,2066904032951613
7860000,1559206701,2142570857055407
7870000,1559341699,2126397196038897
